packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
583,11.339984,1782457533.1102288,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,39134,8080,SYN,2,2469742800,0,64240,True,False,False,False,False
584,11.340043,1782457533.1102874,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,39134,"SYN,ACK",18,3817154049,2469742801,65160,False,True,False,False,False
585,11.340148,1782457533.1103926,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,39134,8080,ACK,16,2469742801,3817154050,502,False,False,True,False,False
586,11.340387,1782457533.1106322,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,39134,8080,"ACK,RST",20,2469742801,3817154050,502,False,False,False,False,True
587,11.353657,1782457533.1239014,02:00:00:00:00:01,198.51.100.76,172.28.5.3,TCP,54,52409,8080,SYN,2,3310625602,0,8192,True,False,False,False,False
588,11.430299,1782457533.2005439,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,45974,8080,SYN,2,1787272831,0,64240,True,False,False,False,False
589,11.43037,1782457533.2006145,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,45974,"SYN,ACK",18,3572922781,1787272832,65160,False,True,False,False,False
590,11.430488,1782457533.2007325,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,45974,8080,ACK,16,1787272832,3572922782,502,False,False,True,False,False
591,11.430816,1782457533.2010612,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,45974,8080,"ACK,RST",20,1787272832,3572922782,502,False,False,False,False,True
592,11.437355,1782457533.2075996,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,38890,8080,SYN,2,2710281317,0,64240,True,False,False,False,False
593,11.437428,1782457533.2076724,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,38890,"SYN,ACK",18,2939729034,2710281318,65160,False,True,False,False,False
594,11.437548,1782457533.207793,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,38890,8080,ACK,16,2710281318,2939729035,502,False,False,True,False,False
