packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
2903,32.044383,1782457508.641002,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,61043,"SYN,ACK",18,925352163,376293145,64240,False,True,False,False,False
2904,32.044448,1782457508.6410668,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,61043,8080,RST,4,376293145,0,0,False,False,False,False,True
2905,32.076428,1782457508.6730473,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,40888,8080,SYN,2,3533293199,0,64240,True,False,False,False,False
2906,32.076474,1782457508.6730926,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,40888,"SYN,ACK",18,2451011984,3533293200,65160,False,True,False,False,False
2907,32.07653,1782457508.6731489,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,40888,8080,ACK,16,3533293200,2451011985,502,False,False,True,False,False
2908,32.0767,1782457508.6733186,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,40888,8080,"ACK,RST",20,3533293200,2451011985,502,False,False,False,False,True
2909,32.083719,1782457508.6803374,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,53922,8080,SYN,2,126621110,0,64240,True,False,False,False,False
2910,32.083765,1782457508.6803842,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,53922,"SYN,ACK",18,2978222048,126621111,65160,False,True,False,False,False
2911,32.083819,1782457508.6804383,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,53922,8080,ACK,16,126621111,2978222049,502,False,False,True,False,False
2912,32.083982,1782457508.680601,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,53922,8080,"ACK,RST",20,126621111,2978222049,502,False,False,False,False,True
2913,32.110664,1782457508.707283,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,65188,8080,SYN,2,3141597772,0,8192,True,False,False,False,False
2914,32.110805,1782457508.707424,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,65188,"SYN,ACK",18,2249949464,3141597773,64240,False,True,False,False,False
2915,32.110885,1782457508.7075043,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,65188,8080,RST,4,3141597773,0,0,False,False,False,False,True
2916,32.179107,1782457508.7757263,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,50515,8080,SYN,2,31259220,0,8192,True,False,False,False,False
2917,32.179218,1782457508.7758365,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,50515,"SYN,ACK",18,3600951220,31259221,64240,False,True,False,False,False
2918,32.179297,1782457508.7759159,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,50515,8080,RST,4,31259221,0,0,False,False,False,False,True
2919,32.201473,1782457508.7980924,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,40898,8080,SYN,2,4064200887,0,64240,True,False,False,False,False
2920,32.201519,1782457508.7981381,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,40898,"SYN,ACK",18,4258721100,4064200888,65160,False,True,False,False,False
