packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
841,9.817043,1782457671.5037699,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,52537,"SYN,ACK",18,176691986,1306252991,64240,False,True,False,False,False
842,9.817122,1782457671.503849,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,52537,8080,RST,4,1306252991,0,0,False,False,False,False,True
843,9.817698,1782457671.5044246,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,57558,8080,SYN,2,1710353342,0,64240,True,False,False,False,False
844,9.817756,1782457671.504483,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,57558,"SYN,ACK",18,3498952191,1710353343,65160,False,True,False,False,False
845,9.817861,1782457671.504588,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57558,8080,ACK,16,1710353343,3498952192,502,False,False,True,False,False
846,9.818221,1782457671.5049472,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57558,8080,"ACK,RST",20,1710353343,3498952192,502,False,False,False,False,True
847,9.818412,1782457671.5051384,02:00:00:00:00:01,192.0.2.164,172.28.5.3,TCP,54,63976,8080,SYN,2,4096825572,0,8192,True,False,False,False,False
848,9.840971,1782457671.5276976,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,64480,8080,SYN,2,1715181671,0,8192,True,False,False,False,False
849,9.841062,1782457671.5277884,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,64480,"SYN,ACK",18,3026999069,1715181672,64240,False,True,False,False,False
850,9.841121,1782457671.5278473,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,64480,8080,RST,4,1715181672,0,0,False,False,False,False,True
851,9.841969,1782457671.5286958,02:00:00:00:00:01,192.0.2.128,172.28.5.3,TCP,54,51322,8080,SYN,2,3000078829,0,8192,True,False,False,False,False
852,9.867622,1782457671.5543482,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,52093,8080,SYN,2,3609688909,0,8192,True,False,False,False,False
853,9.867743,1782457671.5544693,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,52093,"SYN,ACK",18,2429317848,3609688910,64240,False,True,False,False,False
854,9.867828,1782457671.5545547,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,52093,8080,RST,4,3609688910,0,0,False,False,False,False,True
855,9.869333,1782457671.5560591,02:00:00:00:00:01,192.0.2.182,172.28.5.3,TCP,54,56749,8080,SYN,2,17632541,0,8192,True,False,False,False,False
856,9.891468,1782457671.5781944,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,52024,8080,SYN,2,2285675285,0,8192,True,False,False,False,False
857,9.891602,1782457671.5783284,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,52024,"SYN,ACK",18,1304538003,2285675286,64240,False,True,False,False,False
858,9.891674,1782457671.5784006,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,52024,8080,RST,4,2285675286,0,0,False,False,False,False,True
859,9.892853,1782457671.579579,02:00:00:00:00:01,192.0.2.20,172.28.5.3,TCP,54,59103,8080,SYN,2,3155126336,0,8192,True,False,False,False,False
860,9.917316,1782457671.6040425,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,64252,8080,SYN,2,3401086413,0,8192,True,False,False,False,False
861,9.917435,1782457671.6041613,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,58,8080,64252,"SYN,ACK",18,3149075157,3401086414,64240,False,True,False,False,False
862,9.917518,1782457671.6042447,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,54,64252,8080,RST,4,3401086414,0,0,False,False,False,False,True
863,9.920857,1782457671.6075833,02:00:00:00:00:01,203.0.113.209,172.28.5.3,TCP,54,57257,8080,SYN,2,3628862971,0,8192,True,False,False,False,False
864,9.941259,1782457671.6279852,02:00:00:00:00:01,203.0.113.190,172.28.5.3,TCP,54,54461,8080,SYN,2,1651149596,0,8192,True,False,False,False,False
