packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
12595,31.675644,1782457454.9396243,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47556,8080,"ACK,RST",20,3772784961,3688956357,502,False,False,False,False,True
12596,31.675644,1782457454.9396248,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37862,8080,"ACK,RST",20,4251041275,1012643210,502,False,False,False,False,True
12597,31.690098,1782457454.954079,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,56018,8080,SYN,2,3507154113,0,64240,True,False,False,False,False
12598,31.690148,1782457454.9541285,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,56018,"SYN,ACK",18,388579426,3507154114,65160,False,True,False,False,False
12599,31.69021,1782457454.954191,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56018,8080,ACK,16,3507154114,388579427,502,False,False,True,False,False
12600,31.690413,1782457454.9543931,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56018,8080,"ACK,RST",20,3507154114,388579427,502,False,False,False,False,True
12601,31.700204,1782457454.964185,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,47562,8080,SYN,2,1728124184,0,64240,True,False,False,False,False
12602,31.700205,1782457454.9641855,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37870,8080,SYN,2,1377317965,0,64240,True,False,False,False,False
12603,31.700256,1782457454.9642365,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37870,"SYN,ACK",18,877046100,1377317966,65160,False,True,False,False,False
12604,31.700256,1782457454.9642365,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,47562,"SYN,ACK",18,3942548387,1728124185,65160,False,True,False,False,False
12605,31.700345,1782457454.9643254,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37870,8080,ACK,16,1377317966,877046101,502,False,False,True,False,False
12606,31.700351,1782457454.9643314,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47562,8080,ACK,16,1728124185,3942548388,502,False,False,True,False,False
12607,31.700547,1782457454.964528,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47562,8080,"ACK,RST",20,1728124185,3942548388,502,False,False,False,False,True
12608,31.700548,1782457454.9645283,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37870,8080,"ACK,RST",20,1377317966,877046101,502,False,False,False,False,True
12609,31.715167,1782457454.9791474,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,56022,8080,SYN,2,159602435,0,64240,True,False,False,False,False
12610,31.715222,1782457454.979203,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,56022,"SYN,ACK",18,470427015,159602436,65160,False,True,False,False,False
12611,31.715296,1782457454.9792762,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56022,8080,ACK,16,159602436,470427016,502,False,False,True,False,False
12612,31.715535,1782457454.979516,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56022,8080,"ACK,RST",20,159602436,470427016,502,False,False,False,False,True
12613,31.725196,1782457454.9891768,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,47578,8080,SYN,2,42991757,0,64240,True,False,False,False,False
12614,31.725196,1782457454.989177,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37876,8080,SYN,2,1616536808,0,64240,True,False,False,False,False
12615,31.725247,1782457454.9892275,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,47578,"SYN,ACK",18,1054150509,42991758,65160,False,True,False,False,False
12616,31.725247,1782457454.9892273,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,37876,"SYN,ACK",18,707137896,1616536809,65160,False,True,False,False,False
12617,31.725313,1782457454.9892938,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37876,8080,ACK,16,1616536809,707137897,502,False,False,True,False,False
12618,31.725333,1782457454.9893138,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47578,8080,ACK,16,42991758,1054150510,502,False,False,True,False,False
12619,31.725532,1782457454.9895124,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,47578,8080,"ACK,RST",20,42991758,1054150510,502,False,False,False,False,True
12620,31.725532,1782457454.9895127,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,37876,8080,"ACK,RST",20,1616536809,707137897,502,False,False,False,False,True
12621,31.740074,1782457455.0040548,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,56034,8080,SYN,2,4087607951,0,64240,True,False,False,False,False
12622,31.740121,1782457455.0041013,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,56034,"SYN,ACK",18,245967926,4087607952,65160,False,True,False,False,False
12623,31.740179,1782457455.00416,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56034,8080,ACK,16,4087607952,245967927,502,False,False,True,False,False
12624,31.740368,1782457455.0043488,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,56034,8080,"ACK,RST",20,4087607952,245967927,502,False,False,False,False,True
12625,31.750246,1782457455.0142262,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,37880,8080,SYN,2,2637076390,0,64240,True,False,False,False,False
