packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
3528,16.702223,1782457583.5344996,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,57846,8080,"ACK,RST",20,4163760619,770220331,502,False,False,False,False,True
3529,16.710125,1782457583.5424018,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57030,8080,SYN,2,1298500626,0,64240,True,False,False,False,False
3530,16.710172,1782457583.542449,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57030,"SYN,ACK",18,563864747,1298500627,65160,False,True,False,False,False
3531,16.710233,1782457583.54251,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57030,8080,ACK,16,1298500627,563864748,502,False,False,True,False,False
3532,16.710415,1782457583.5426917,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57030,8080,"ACK,RST",20,1298500627,563864748,502,False,False,False,False,True
3533,16.719957,1782457583.552234,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,56509,8080,SYN,2,2222922623,0,8192,True,False,False,False,False
3534,16.720061,1782457583.5523372,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,56509,"SYN,ACK",18,2018721600,2222922624,64240,False,True,False,False,False
3535,16.720113,1782457583.5523891,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,56509,8080,RST,4,2222922624,0,0,False,False,False,False,True
3536,16.735267,1782457583.5675437,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57032,8080,SYN,2,550456515,0,64240,True,False,False,False,False
3537,16.73532,1782457583.5675962,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57032,"SYN,ACK",18,1989550588,550456516,65160,False,True,False,False,False
3538,16.735391,1782457583.5676675,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57032,8080,ACK,16,550456516,1989550589,502,False,False,True,False,False
3539,16.735591,1782457583.5678678,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57032,8080,"ACK,RST",20,550456516,1989550589,502,False,False,False,False,True
3540,16.746099,1782457583.5783756,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57157,8080,SYN,2,3010493702,0,8192,True,False,False,False,False
3541,16.746194,1782457583.5784705,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,57157,"SYN,ACK",18,1765227517,3010493703,64240,False,True,False,False,False
3542,16.74625,1782457583.578527,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,57157,8080,RST,4,3010493703,0,0,False,False,False,False,True
3543,16.760206,1782457583.592483,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57048,8080,SYN,2,4144805496,0,64240,True,False,False,False,False
3544,16.760256,1782457583.5925326,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57048,"SYN,ACK",18,1871927927,4144805497,65160,False,True,False,False,False
3545,16.760322,1782457583.592599,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57048,8080,ACK,16,4144805497,1871927928,502,False,False,True,False,False
3546,16.760509,1782457583.5927854,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57048,8080,"ACK,RST",20,4144805497,1871927928,502,False,False,False,False,True
3547,16.771008,1782457583.6032841,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,60095,8080,SYN,2,3178479588,0,8192,True,False,False,False,False
3548,16.771125,1782457583.6034017,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,60095,"SYN,ACK",18,2489317299,3178479589,64240,False,True,False,False,False
3549,16.771184,1782457583.6034608,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,60095,8080,RST,4,3178479589,0,0,False,False,False,False,True
3550,16.785207,1782457583.6174836,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,57056,8080,SYN,2,81292230,0,64240,True,False,False,False,False
3551,16.785253,1782457583.6175292,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,57056,"SYN,ACK",18,3391989591,81292231,65160,False,True,False,False,False
3552,16.785321,1782457583.6175973,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57056,8080,ACK,16,81292231,3391989592,502,False,False,True,False,False
3553,16.785508,1782457583.6177843,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,57056,8080,"ACK,RST",20,81292231,3391989592,502,False,False,False,False,True
3554,16.795988,1782457583.6282642,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,60860,8080,SYN,2,2905512300,0,8192,True,False,False,False,False
3555,16.796109,1782457583.6283855,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,60860,"SYN,ACK",18,931402390,2905512301,64240,False,True,False,False,False
3556,16.796169,1782457583.6284454,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,60860,8080,RST,4,2905512301,0,0,False,False,False,False,True
