packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
3203,33.021404,1782457741.5774672,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,38104,"SYN,ACK",18,3415381406,741056159,65160,False,True,False,False,False
3204,33.021491,1782457741.577554,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,38104,8080,ACK,16,741056159,3415381407,502,False,False,True,False,False
3205,33.021745,1782457741.5778086,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,38104,8080,"ACK,RST",20,741056159,3415381407,502,False,False,False,False,True
3206,33.03015,1782457741.5862134,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,38960,8080,SYN,2,1576005943,0,64240,True,False,False,False,False
3207,33.030212,1782457741.5862753,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,38960,"SYN,ACK",18,1215454056,1576005944,65160,False,True,False,False,False
3208,33.030327,1782457741.5863903,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,38960,8080,ACK,16,1576005944,1215454057,502,False,False,True,False,False
3209,33.030591,1782457741.5866544,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,38960,8080,"ACK,RST",20,1576005944,1215454057,502,False,False,False,False,True
3210,33.049116,1782457741.6051798,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,58881,8080,SYN,2,1157731515,0,8192,True,False,False,False,False
3211,33.049198,1782457741.6052613,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,58,8080,58881,"SYN,ACK",18,1635754613,1157731516,64240,False,True,False,False,False
3212,33.049263,1782457741.6053264,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,54,58881,8080,RST,4,1157731516,0,0,False,False,False,False,True
