packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
538,10.972778,1782457389.3402452,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,49958,"SYN,ACK",18,873844061,4259738033,65160,False,True,False,False,False
539,10.972847,1782457389.3403144,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49958,8080,ACK,16,4259738033,873844062,502,False,False,True,False,False
540,10.973015,1782457389.3404827,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49958,8080,"ACK,RST",20,4259738033,873844062,502,False,False,False,False,True
541,11.079064,1782457389.4465318,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,48158,8080,SYN,2,727556322,0,64240,True,False,False,False,False
542,11.079141,1782457389.4466083,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,48158,"SYN,ACK",18,4060698319,727556323,65160,False,True,False,False,False
543,11.07926,1782457389.4467278,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48158,8080,ACK,16,727556323,4060698320,502,False,False,True,False,False
544,11.079583,1782457389.4470508,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48158,8080,"ACK,RST",20,727556323,4060698320,502,False,False,False,False,True
545,11.082,1782457389.449468,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36720,8080,SYN,2,3746508720,0,64240,True,False,False,False,False
546,11.082071,1782457389.4495385,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36720,"SYN,ACK",18,3660796096,3746508721,65160,False,True,False,False,False
547,11.082187,1782457389.449654,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36720,8080,ACK,16,3746508721,3660796097,502,False,False,True,False,False
548,11.08255,1782457389.4500177,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36720,8080,"ACK,RST",20,3746508721,3660796097,502,False,False,False,False,True
549,11.097725,1782457389.4651928,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,49966,8080,SYN,2,2178371721,0,64240,True,False,False,False,False
550,11.097771,1782457389.4652383,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,49966,"SYN,ACK",18,3756174048,2178371722,65160,False,True,False,False,False
551,11.097825,1782457389.465292,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49966,8080,ACK,16,2178371722,3756174049,502,False,False,True,False,False
552,11.098007,1782457389.4654741,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49966,8080,"ACK,RST",20,2178371722,3756174049,502,False,False,False,False,True
553,11.204011,1782457389.5714788,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,48172,8080,SYN,2,709419814,0,64240,True,False,False,False,False
554,11.204087,1782457389.571555,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,48172,"SYN,ACK",18,1921914143,709419815,65160,False,True,False,False,False
555,11.204207,1782457389.5716743,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48172,8080,ACK,16,709419815,1921914144,502,False,False,True,False,False
556,11.204566,1782457389.5720334,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48172,8080,"ACK,RST",20,709419815,1921914144,502,False,False,False,False,True
557,11.206987,1782457389.5744548,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36726,8080,SYN,2,3156035843,0,64240,True,False,False,False,False
558,11.207057,1782457389.574524,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36726,"SYN,ACK",18,2078908207,3156035844,65160,False,True,False,False,False
559,11.207173,1782457389.5746405,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36726,8080,ACK,16,3156035844,2078908208,502,False,False,True,False,False
560,11.207538,1782457389.5750058,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36726,8080,"ACK,RST",20,3156035844,2078908208,502,False,False,False,False,True
561,11.222725,1782457389.5901926,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,49970,8080,SYN,2,1167422435,0,64240,True,False,False,False,False
562,11.222772,1782457389.5902393,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,49970,"SYN,ACK",18,906644673,1167422436,65160,False,True,False,False,False
563,11.222841,1782457389.5903082,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49970,8080,ACK,16,1167422436,906644674,502,False,False,True,False,False
564,11.223013,1782457389.5904803,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,49970,8080,"ACK,RST",20,1167422436,906644674,502,False,False,False,False,True
565,11.328939,1782457389.6964068,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,48188,8080,SYN,2,3227791459,0,64240,True,False,False,False,False
566,11.329009,1782457389.6964767,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,48188,"SYN,ACK",18,3593925521,3227791460,65160,False,True,False,False,False
567,11.329117,1782457389.6965842,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48188,8080,ACK,16,3227791460,3593925522,502,False,False,True,False,False
568,11.329434,1782457389.6969013,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,48188,8080,"ACK,RST",20,3227791460,3593925522,502,False,False,False,False,True
569,11.33192,1782457389.6993873,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,36740,8080,SYN,2,2764272287,0,64240,True,False,False,False,False
570,11.331984,1782457389.6994512,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,36740,"SYN,ACK",18,2086939155,2764272288,65160,False,True,False,False,False
571,11.332088,1782457389.699555,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36740,8080,ACK,16,2764272288,2086939156,502,False,False,True,False,False
572,11.332414,1782457389.699881,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,36740,8080,"ACK,RST",20,2764272288,2086939156,502,False,False,False,False,True
