packet_no,timestamp,timestamp_epoch,device,source_ip,destination_ip,protocol,length,source_port,destination_port,tcp_flags,tcp_flags_raw,seq_num,ack_num,window_size,is_syn,is_syn_ack,is_ack,is_fin,is_rst
2826,31.085414,1782457647.576514,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,32994,"SYN,ACK",18,2788620955,4033523201,65160,False,True,False,False,False
2827,31.085535,1782457647.5766346,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,32994,8080,ACK,16,4033523201,2788620956,502,False,False,True,False,False
2828,31.085898,1782457647.5769982,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,32994,8080,"ACK,RST",20,4033523201,2788620956,502,False,False,False,False,True
2829,31.095044,1782457647.5861435,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,59996,8080,SYN,2,1086987328,0,64240,True,False,False,False,False
2830,31.095093,1782457647.586193,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,59996,"SYN,ACK",18,818224177,1086987329,65160,False,True,False,False,False
2831,31.09516,1782457647.58626,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,59996,8080,ACK,16,1086987329,818224178,502,False,False,True,False,False
2832,31.095373,1782457647.5864732,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,59996,8080,"ACK,RST",20,1086987329,818224178,502,False,False,False,False,True
2833,31.153412,1782457647.644512,02:00:00:00:00:01,192.0.2.135,172.28.5.3,TCP,54,64205,8080,SYN,2,3246162604,0,8192,True,False,False,False,False
2834,31.178134,1782457647.669234,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,36014,8080,SYN,2,2222207393,0,64240,True,False,False,False,False
2835,31.178182,1782457647.6692817,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,36014,"SYN,ACK",18,838169297,2222207394,65160,False,True,False,False,False
2836,31.178281,1782457647.6693804,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,36014,8080,ACK,16,2222207394,838169298,502,False,False,True,False,False
2837,31.178492,1782457647.669592,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,36014,8080,"ACK,RST",20,2222207394,838169298,502,False,False,False,False,True
2838,31.210075,1782457647.7011752,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,32998,8080,SYN,2,3769475811,0,64240,True,False,False,False,False
2839,31.210128,1782457647.7012277,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,32998,"SYN,ACK",18,958648296,3769475812,65160,False,True,False,False,False
2840,31.210216,1782457647.7013156,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,32998,8080,ACK,16,3769475812,958648297,502,False,False,True,False,False
2841,31.210437,1782457647.7015371,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,32998,8080,"ACK,RST",20,3769475812,958648297,502,False,False,False,False,True
2842,31.217028,1782457647.7081277,02:00:00:00:00:01,203.0.113.82,172.28.5.3,TCP,54,57602,8080,SYN,2,126678697,0,8192,True,False,False,False,False
2843,31.22012,1782457647.7112195,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,60012,8080,SYN,2,2229196174,0,64240,True,False,False,False,False
2844,31.220167,1782457647.7112665,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,60012,"SYN,ACK",18,4292815870,2229196175,65160,False,True,False,False,False
2845,31.220311,1782457647.711411,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60012,8080,ACK,16,2229196175,4292815871,502,False,False,True,False,False
2846,31.220527,1782457647.7116272,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60012,8080,"ACK,RST",20,2229196175,4292815871,502,False,False,False,False,True
2847,31.284281,1782457647.775381,02:00:00:00:00:01,198.51.100.131,172.28.5.3,TCP,54,59599,8080,SYN,2,1040441698,0,8192,True,False,False,False,False
2848,31.303187,1782457647.794287,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,36020,8080,SYN,2,2680234808,0,64240,True,False,False,False,False
2849,31.303263,1782457647.794363,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,36020,"SYN,ACK",18,705587990,2680234809,65160,False,True,False,False,False
2850,31.303352,1782457647.7944517,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,36020,8080,ACK,16,2680234809,705587991,502,False,False,True,False,False
2851,31.303612,1782457647.7947114,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,36020,8080,"ACK,RST",20,2680234809,705587991,502,False,False,False,False,True
2852,31.335341,1782457647.8264413,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,33008,8080,SYN,2,2163797711,0,64240,True,False,False,False,False
2853,31.33542,1782457647.8265202,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,33008,"SYN,ACK",18,200758411,2163797712,65160,False,True,False,False,False
2854,31.335538,1782457647.8266382,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,33008,8080,ACK,16,2163797712,200758412,502,False,False,True,False,False
2855,31.335901,1782457647.8270006,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,33008,8080,"ACK,RST",20,2163797712,200758412,502,False,False,False,False,True
2856,31.345114,1782457647.8362138,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,60016,8080,SYN,2,2620704873,0,64240,True,False,False,False,False
2857,31.345172,1782457647.8362715,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,60016,"SYN,ACK",18,1850097904,2620704874,65160,False,True,False,False,False
2858,31.34528,1782457647.8363798,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60016,8080,ACK,16,2620704874,1850097905,502,False,False,True,False,False
2859,31.345516,1782457647.8366158,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60016,8080,"ACK,RST",20,2620704874,1850097905,502,False,False,False,False,True
2860,31.351084,1782457647.8421834,02:00:00:00:00:01,198.51.100.113,172.28.5.3,TCP,54,63381,8080,SYN,2,1528988014,0,8192,True,False,False,False,False
2861,31.419308,1782457647.9104075,02:00:00:00:00:01,198.51.100.217,172.28.5.3,TCP,54,59658,8080,SYN,2,430024026,0,8192,True,False,False,False,False
2862,31.428543,1782457647.9196424,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,36030,8080,SYN,2,1848497951,0,64240,True,False,False,False,False
2863,31.428618,1782457647.919718,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,36030,"SYN,ACK",18,3445137224,1848497952,65160,False,True,False,False,False
2864,31.428733,1782457647.9198332,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,36030,8080,ACK,16,1848497952,3445137225,502,False,False,True,False,False
2865,31.429065,1782457647.920165,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,36030,8080,"ACK,RST",20,1848497952,3445137225,502,False,False,False,False,True
2866,31.460068,1782457647.9511673,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,74,33018,8080,SYN,2,896376312,0,64240,True,False,False,False,False
2867,31.46012,1782457647.9512198,02:00:00:00:00:fe,172.28.5.3,172.28.5.105,TCP,74,8080,33018,"SYN,ACK",18,3073683099,896376313,65160,False,True,False,False,False
2868,31.46019,1782457647.95129,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,33018,8080,ACK,16,896376313,3073683100,502,False,False,True,False,False
2869,31.460435,1782457647.9515345,02:00:00:00:00:01,172.28.5.105,172.28.5.3,TCP,66,33018,8080,"ACK,RST",20,896376313,3073683100,502,False,False,False,False,True
2870,31.470087,1782457647.9611871,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,74,60024,8080,SYN,2,3729220621,0,64240,True,False,False,False,False
2871,31.470142,1782457647.9612415,02:00:00:00:00:fe,172.28.5.3,172.28.5.106,TCP,74,8080,60024,"SYN,ACK",18,1779491293,3729220622,65160,False,True,False,False,False
2872,31.470239,1782457647.9613388,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60024,8080,ACK,16,3729220622,1779491294,502,False,False,True,False,False
2873,31.470452,1782457647.9615517,02:00:00:00:00:02,172.28.5.106,172.28.5.3,TCP,66,60024,8080,"ACK,RST",20,3729220622,1779491294,502,False,False,False,False,True
2874,31.483938,1782457647.9750376,02:00:00:00:00:01,203.0.113.14,172.28.5.3,TCP,54,60195,8080,SYN,2,1470080216,0,8192,True,False,False,False,False
2875,31.550967,1782457648.042067,02:00:00:00:00:01,203.0.113.3,172.28.5.3,TCP,54,60375,8080,SYN,2,4077950538,0,8192,True,False,False,False,False
2876,31.553167,1782457648.0442672,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,74,36036,8080,SYN,2,3578913420,0,64240,True,False,False,False,False
2877,31.553236,1782457648.0443356,02:00:00:00:00:fe,172.28.5.3,172.28.5.107,TCP,74,8080,36036,"SYN,ACK",18,1424040657,3578913421,65160,False,True,False,False,False
2878,31.553329,1782457648.0444283,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,36036,8080,ACK,16,3578913421,1424040658,502,False,False,True,False,False
2879,31.553569,1782457648.0446692,02:00:00:00:00:03,172.28.5.107,172.28.5.3,TCP,66,36036,8080,"ACK,RST",20,3578913421,1424040658,502,False,False,False,False,True
