t,accuracy,recall,precision,false_positive_rate,f1_score
1,1.0,1.0,1.0,0.0,1.0
2,1.0,1.0,1.0,0.0,1.0
3,1.0,1.0,1.0,0.0,1.0
4,1.0,1.0,1.0,0.0,1.0
5,1.0,1.0,1.0,0.0,1.0
6,1.0,1.0,1.0,0.0,1.0
7,1.0,1.0,1.0,0.0,1.0
8,0.875,0.6666666666666666,1.0,0.0,0.8
9,0.875,0.6666666666666666,1.0,0.0,0.8
10,0.875,0.6666666666666666,1.0,0.0,0.8
